DURATION,GOAL_DESC,SEASON,DATE_TIME,HOME_TEAM,AWAY_TEAM,STADIUM,POSITION,HEIGHT,WEIGHT,FOOT,GOAL_SCORER,GOAL_SCORER_TEAM_NAME,ASSIST_PLAYER,GOALS,ASSISTS
13,header,2019-2020,"Tuesday, August 18, 2020",RB Leipzig,Paris Saint-Germain,Estádio da Luz,Defender,183,75,R,Marquinhos,Paris Saint-Germain,Ángel Di María,1,2
105,left-footed shot,2016-2017,"Tuesday, April 18, 2017",Real Madrid,Bayern München,Santiago Bernabéu,Forward,187,83,,Cristiano Ronaldo,Real Madrid,Sergio Ramos,3,1
15,header,2020-2021,"Wednesday, April 28, 2021",Paris Saint-Germain,Manchester City,Parc des Princes,Defender,183,75,R,Marquinhos,Paris Saint-Germain,Ángel Di María,1,1
76,header,2016-2017,"Tuesday, April 18, 2017",Real Madrid,Bayern München,Santiago Bernabéu,Forward,187,83,,Cristiano Ronaldo,Real Madrid,Casemiro,3,1
11,penalty,2020-2021,"Tuesday, November 24, 2020",Paris Saint-Germain,RB Leipzig,Parc des Princes,Forward,175,68,R,Neymar,Paris Saint-Germain,Ángel Di María,1,1
28,header,2019-2020,"Wednesday, March 11, 2020",Paris Saint-Germain,Borussia Dortmund,Parc des Princes,Forward,175,68,R,Neymar,Paris Saint-Germain,Ángel Di María,1,1
46,right-footed shot,2017-2018,"Tuesday, May 1, 2018",Real Madrid,Bayern München,Santiago Bernabéu,Forward,185,81,R,Karim Benzema,Real Madrid,,2,2
55,header,2016-2017,"Wednesday, September 28, 2016",PFC Ludogorets Razgrad,Paris Saint-Germain,Vasil Levski,Forward,184,77,R,Edinson Cavani,Paris Saint-Germain,Ángel Di María,2,1
78,left-footed shot,2017-2018,"Tuesday, October 31, 2017",Paris Saint-Germain,RSC Anderlecht,Parc des Princes,Defender,182,74,L,Layvin Kurzawa,Paris Saint-Germain,Ángel Di María,3,1
54,left-footed shot,2017-2018,"Tuesday, November 21, 2017",APOEL Nikosia,Real Madrid,Neo GSP Stadium,Forward,187,83,,Cristiano Ronaldo,Real Madrid,Karim Benzema,2,1
14,right-footed shot,2020-2021,"Wednesday, October 21, 2020",Manchester City,FC Porto,Etihad Stadium,Forward,180,73,R,Luis Díaz,FC Porto,Mateus Uribe,1,1
6,left-footed shot,2020-2021,"Wednesday, November 4, 2020",RB Leipzig,Paris Saint-Germain,Red Bull Arena,Forward,180,75,L,Ángel Di María,Paris Saint-Germain,Moise Kean,1,1
17,right-footed shot,2019-2020,"Tuesday, November 26, 2019",Real Madrid,Paris Saint-Germain,Santiago Bernabéu,Forward,185,81,R,Karim Benzema,Real Madrid,,2,7
53,penalty,2019-2020,"Tuesday, November 26, 2019",Crvena Zvezda,Bayern München,Marakana,Forward,185,81,R,Robert Lewandowski,Bayern München,,4,7
52,header,2019-2020,"Tuesday, September 17, 2019",RB Salzburg,KRC Genk,Red Bull Arena,Forward,183,78,R,Ally Samatta,#N/A,Théo Bongonda,1,1
58,left-footed shot,2016-2017,"Wednesday, September 28, 2016",SSC Napoli,SL Benfica,Diego Maradona,Forward,169,61,R,Dries Mertens,SSC Napoli,Arkadiusz Milik,2,1
41,header,2019-2020,"Tuesday, November 5, 2019",Liverpool FC,KRC Genk,Anfield,Forward,183,78,R,Ally Samatta,#N/A,Bryan Heynen,1,1
85,header,2019-2020,"Wednesday, November 27, 2019",KRC Genk,RB Salzburg,Cegeka Arena,Forward,183,78,R,Ally Samatta,#N/A,Paul Onuachu,1,1
82,left-footed shot,2021-2022,"Tuesday, November 2, 2021",Juventus,Zenit St. Petersburg,Allianz Stadium,Forward,187,82,R,Álvaro Morata,Juventus,Paulo Dybala,1,1
90,right-footed shot,2019-2020,"Wednesday, November 6, 2019",Real Madrid,Galatasaray,Santiago Bernabéu,Forward,174,64,R,Rodrygo,Real Madrid,Karim Benzema,6,2
90,right-footed shot,2019-2020,"Wednesday, November 6, 2019",Real Madrid,Galatasaray,Santiago Bernabéu,Forward,174,64,R,Rodrygo,Real Madrid,Karim Benzema,6,2
45,right-footed shot,2021-2022,"Tuesday, September 14, 2021",Malmö FF,Juventus,Nya Malmö Stadion,Forward,187,82,R,Álvaro Morata,Juventus,,1,8
54,right-footed shot,2018-2019,"Tuesday, May 7, 2019",Liverpool FC,FC Barcelona,Anfield,Midfielder,175,69,R,Georginio Wijnaldum,Liverpool FC,Trent Alexander-Arnold,2,2
79,right-footed shot,2018-2019,"Tuesday, May 7, 2019",Liverpool FC,FC Barcelona,Anfield,Forward,185,75,R,Divock Origi,Liverpool FC,Trent Alexander-Arnold,2,2
25,left-footed shot,2019-2020,"Wednesday, October 2, 2019",Liverpool FC,RB Salzburg,Anfield,Defender,178,64,L,Andrew Robertson,Liverpool FC,Trent Alexander-Arnold,1,1
15,left-footed shot,2021-2022,"Wednesday, September 15, 2021",Club Brugge KV,Paris Saint-Germain,Jan Breydel Stadion,Midfielder,182,71,R,Ander Herrera,Paris Saint-Germain,Kylian Mbappé,1,1
41,left-footed shot,2017-2018,"Tuesday, November 21, 2017",Beşiktaş,FC Porto,Vodafone Park,Midfielder,188,74,R,Anderson Talisca,#N/A,Cenk Tosun,1,1
13,header,2017-2018,"Wednesday, September 13, 2017",FC Porto,Beşiktaş,Estádio do Dragão,Midfielder,188,74,R,Anderson Talisca,#N/A,,1,11
43,header,2017-2018,"Tuesday, September 26, 2017",Beşiktaş,RB Leipzig,Vodafone Park,Midfielder,188,74,R,Anderson Talisca,#N/A,,1,7
26,right-footed shot,2018-2019,"Tuesday, April 9, 2019",Liverpool FC,FC Porto,Anfield,Forward,181,76,R,Roberto Firmino,Liverpool FC,Trent Alexander-Arnold,1,1
55,right-footed shot,2020-2021,"Tuesday, October 27, 2020",Liverpool FC,FC Midtjylland,Anfield,Forward,178,70,R,Diogo Jota,Liverpool FC,Trent Alexander-Arnold,1,1
16,left-footed shot,2020-2021,"Tuesday, November 3, 2020",Atalanta,Liverpool FC,Gewiss Stadium,Forward,178,70,R,Diogo Jota,Liverpool FC,Trent Alexander-Arnold,3,1
35,right-footed shot,2016-2017,"Wednesday, November 2, 2016",Legia Warszawa,Real Madrid,Stadion Wojska Polskiego,Forward,185,81,R,Karim Benzema,Real Madrid,Gareth Bale,1,1
17,right-footed shot,2016-2017,"Tuesday, September 27, 2016",Borussia Dortmund,Real Madrid,Signal Iduna Park,Forward,187,83,,Cristiano Ronaldo,Real Madrid,Gareth Bale,1,1
90,left-footed shot,2017-2018,"Wednesday, December 6, 2017",RB Leipzig,Beşiktaş,Red Bull Arena,Midfielder,188,74,R,Anderson Talisca,#N/A,,1,9
90,free kick,2016-2017,"Tuesday, September 13, 2016",SL Benfica,Beşiktaş,Estádio da Luz,Midfielder,188,74,R,Anderson Talisca,#N/A,,1,8
28,right-footed shot,2021-2022,"Tuesday, October 19, 2021",Paris Saint-Germain,RB Leipzig,Parc des Princes,Forward,185,84,R,André Silva,RB Leipzig,Angeliño,1,2
12,right-footed shot,2017-2018,"Wednesday, September 13, 2017",Real Madrid,APOEL Nikosia,Santiago Bernabéu,Forward,187,83,,Cristiano Ronaldo,Real Madrid,Gareth Bale,2,1
50,left-footed shot,2017-2018,"Tuesday, September 26, 2017",Borussia Dortmund,Real Madrid,Signal Iduna Park,Forward,187,83,,Cristiano Ronaldo,Real Madrid,Gareth Bale,2,1
42,penalty,2020-2021,"Wednesday, December 9, 2020",Paris Saint-Germain,İstanbul Başakşehir,Parc des Princes,Forward,178,73,R,Kylian Mbappé,Paris Saint-Germain,Neymar,2,1
37,header,2018-2019,"Wednesday, November 7, 2018",Viktoria Plzeň,Real Madrid,Doosan Arena,Forward,185,81,R,Karim Benzema,Real Madrid,Gareth Bale,2,1
55,left-footed shot,2018-2019,"Tuesday, October 23, 2018",Real Madrid,Viktoria Plzeň,Santiago Bernabéu,Defender,174,75,L,Marcelo,Real Madrid,Gareth Bale,3,3
55,left-footed shot,2018-2019,"Tuesday, October 23, 2018",Real Madrid,Viktoria Plzeň,Santiago Bernabéu,Defender,174,75,L,Marcelo,Real Madrid,Gareth Bale,3,3
26,header,2021-2022,"Wednesday, November 24, 2021",Club Brugge KV,RB Leipzig,Jan Breydel Stadion,Forward,185,84,R,André Silva,RB Leipzig,Angeliño,1,1
3,right-footed shot,2020-2021,"Wednesday, April 7, 2021",Bayern München,Paris Saint-Germain,Allianz Arena,Forward,178,73,R,Kylian Mbappé,Paris Saint-Germain,Neymar,2,2
28,right-footed shot,2020-2021,"Wednesday, April 7, 2021",Bayern München,Paris Saint-Germain,Allianz Arena,Defender,183,75,R,Marquinhos,Paris Saint-Germain,Neymar,1,2
87,header,2016-2017,"Tuesday, November 22, 2016",Sporting CP,Real Madrid,Estádio José Alvalade,Forward,185,81,R,Karim Benzema,Real Madrid,Sergio Ramos,1,1
90,right-footed shot,2020-2021,"Tuesday, October 27, 2020",Bor. Mönchengladbach,Real Madrid,Borussia-Park,Midfielder,185,84,R,Casemiro,Real Madrid,Sergio Ramos,1,1
61,header,2019-2020,"Tuesday, October 22, 2019",Club Brugge KV,Paris Saint-Germain,Jan Breydel Stadion,Forward,178,73,R,Kylian Mbappé,Paris Saint-Germain,,3,6
34,left-footed shot,2019-2020,"Tuesday, October 22, 2019",Olympiakos Piraeus,Bayern München,Georgios Karaiskakis,Forward,185,81,R,Robert Lewandowski,Bayern München,,2,6
28,right-footed shot,2016-2017,"Wednesday, December 7, 2016",Real Madrid,Borussia Dortmund,Santiago Bernabéu,Forward,185,81,R,Karim Benzema,Real Madrid,Dani Carvajal,2,1
18,header,2016-2017,"Wednesday, February 15, 2017",Real Madrid,SSC Napoli,Santiago Bernabéu,Forward,185,81,R,Karim Benzema,Real Madrid,Dani Carvajal,1,1
